COUNTY,fips,BIDEN VOTES,BIDEN PCT,TRUMP VOTES,TRUMP PCT,PERDUE VOTES,PERDUE PCT,OSSOFF VOTES,OSSOFF PCT,WARNOCK VOTES,WARNOCK PCT,LOEFFLER VOTES,LOEFFLER PCT,OSSOFF VOTES 2,OSSOFF PCT 2,PERDUE VOTES 2,PERDUE PCT 2,WARNOCK VOTES 2,WARNOCK PCT 2,LOEFFLER VOTES 2,LOEFFLER PCT 2,TOTAL VOTERS
Coffee County,13069,"4,511",29.7,"10,578",69.5,"10,424",69.5,"4,281",28.6,"2,455",16.7,"4,324",29.4,"4,050",30.7,"9,141",69.3,"4,074",30.9,"9,124",69.1,25165
Colquitt County,13071,"4,187",26,"11,777",73.2,"11,644",73.3,"3,990",25.1,"2,531",16,"6,562",41.6,"3,711",26.4,"10,331",73.6,"3,724",26.5,"10,322",73.5,25087
Columbia County,13073,"29,236",36.3,"50,013",62.1,"50,220",62.8,"27,759",34.7,"16,245",20.5,"28,606",36,"26,497",36.7,"45,667",63.3,"26,545",36.8,"45,588",63.2,107656
Cook County,13075,"2,059",29.3,"4,900",69.7,"4,864",69.8,"1,963",28.2,"1,085",15.7,"2,703",39.1,"1,894",30.5,"4,313",69.5,"1,895",30.5,"4,310",69.5,10650
Coweta County,13077,"24,210",31.5,"51,501",67.1,"51,299",67.4,"22,915",30.1,"16,593",21.9,"28,927",38.2,"21,507",32,"45,761",68,"21,805",32.4,"45,447",67.6,102262
Crawford County,13079,"1,615",26.5,"4,428",72.6,"4,330",71.9,"1,561",25.9,"1,172",19.5,"2,281",38,"1,481",27.7,"3,875",72.3,"1,497",27.9,"3,865",72.1,8536
Crisp County,13081,"2,986",37.1,"4,987",62,"5,054",63.4,"2,809",35.3,"1,738",22,"2,330",29.5,"2,681",37.6,"4,454",62.4,"2,702",37.9,"4,436",62.1,12560
Dade County,13083,"1,261",17,"6,066",81.6,"5,871",80.1,"1,253",17.1,461,6.4,"3,088",43.1,"1,131",17.8,"5,227",82.2,"1,111",17.5,"5,227",82.5,11682
Dawson County,13085,"2,486",15.5,"13,398",83.3,"13,217",83,"2,289",14.4,"1,506",9.5,"5,260",33.2,"2,227",15.5,"12,146",84.5,"2,271",15.8,"12,100",84.2,21557
Decatur County,13087,"4,780",41.1,"6,758",58.1,"6,696",58.5,"4,563",39.9,"1,738",15.4,"2,980",26.3,"4,127",41.1,"5,919",58.9,"4,121",41,"5,926",59,16726
