COUNTY,fips,BIDEN VOTES,BIDEN PCT,TRUMP VOTES,TRUMP PCT,PERDUE VOTES,PERDUE PCT,OSSOFF VOTES,OSSOFF PCT,WARNOCK VOTES,WARNOCK PCT,LOEFFLER VOTES,LOEFFLER PCT,OSSOFF VOTES 2,OSSOFF PCT 2,PERDUE VOTES 2,PERDUE PCT 2,WARNOCK VOTES 2,WARNOCK PCT 2,LOEFFLER VOTES 2,LOEFFLER PCT 2,TOTAL VOTERS
Talbot County,13263,"2,114",60,"1,392",39.5,"1,386",40.2,"2,013",58.3,"1,531",44.4,677,19.6,"1,943",61,"1,242",39,"1,946",61.1,"1,240",38.9,4567
Taliaferro County,13265,561,60.5,360,38.8,366,40.6,521,57.8,343,38.8,178,20.1,512,60.7,332,39.3,513,60.6,333,39.4,1246
Tattnall County,13267,"2,061",25.2,"6,053",74,"5,954",73.6,"1,978",24.4,"1,200",15.1,"3,047",38.4,"1,869",25.9,"5,335",74.1,"1,870",26,"5,333",74,12216
Taylor County,13269,"1,387",36.1,"2,418",63,"2,399",63.3,"1,312",34.6,962,25.5,"1,173",31.1,"1,350",38.9,"2,118",61.1,"1,356",39,"2,117",61,5405
Telfair County,13271,"1,487",34.3,"2,825",65.2,"2,751",64.7,"1,435",33.7,"1,003",23.9,"1,187",28.3,"1,348",35.1,"2,497",64.9,"1,353",35.2,"2,492",64.8,6076
Terrell County,13273,"2,376",53.8,"2,004",45.4,"2,040",46.6,"2,277",52,"1,508",34.7,"1,058",24.3,"2,256",54.7,"1,868",45.3,"2,260",54.8,"1,863",45.2,6625
Thomas County,13275,"8,708",39.8,"12,954",59.3,"13,020",60.3,"8,158",37.8,"3,809",17.9,"5,725",26.9,"7,641",39.8,"11,574",60.2,"7,628",39.7,"11,596",60.3,30218
Tift County,13277,"5,322",32.7,"10,784",66.2,"10,814",67.3,"4,956",30.8,"3,284",20.5,"5,603",35,"4,726",32.8,"9,681",67.2,"4,754",33,"9,664",67,24551
Toombs County,13279,"2,939",26.9,"7,872",72.1,"7,793",72.2,"2,832",26.2,"1,760",16.5,"3,456",32.4,"2,509",26.7,"6,873",73.3,"2,541",27,"6,862",73,16227
Towns County,13281,"1,550",19.4,"6,384",80,"6,291",79.8,"1,451",18.4,"1,017",13,"2,036",25.9,"1,394",19.3,"5,842",80.7,"1,414",19.5,"5,820",80.5,10189
Treutlen County,13283,952,30.9,"2,101",68.3,"2,078",68.7,893,29.5,551,18.6,965,32.5,846,31.3,"1,858",68.7,850,31.4,"1,861",68.6,4248
Troup County,13285,"11,578",38.5,"18,143",60.4,"18,162",60.9,"11,111",37.3,"7,472",25.3,"9,163",31,"10,488",40,"15,757",60,"10,574",40.3,"15,685",59.7,43169
Turner County,13287,"1,410",37.2,"2,349",61.9,"2,334",62.4,"1,345",36,866,23.3,"1,310",35.2,"1,305",38.3,"2,105",61.7,"1,310",38.4,"2,102",61.6,5604
Twiggs County,13289,"2,044",46,"2,370",53.3,"2,313",52.8,"1,981",45.2,"1,508",34.7,"1,271",29.3,"1,873",47.7,"2,057",52.3,"1,894",48.1,"2,042",51.9,6308
Union County,13291,"2,801",18,"12,651",81.3,"12,423",80.8,"2,616",17,"1,904",12.4,"3,945",25.7,"2,569",18.1,"11,609",81.9,"2,579",18.2,"11,590",81.8,19235
Upson County,13293,"4,201",32.6,"8,608",66.7,"8,568",67,"4,000",31.3,"3,079",24.2,"4,239",33.3,"3,832",34.3,"7,341",65.7,"3,867",34.6,"7,315",65.4,18187
Walker County,13295,"5,769",19.7,"23,174",78.9,"22,650",78.2,"5,435",18.8,"2,113",7.4,"12,258",43,"4,887",20.2,"19,250",79.8,"4,849",20.1,"19,274",79.9,43050
Walton County,13297,"12,634",24.9,"37,617",74,"37,169",73.7,"12,102",24,"8,417",16.8,"22,678",45.2,"11,556",25.4,"33,887",74.6,"11,691",25.7,"33,747",74.3,70129
Ware County,13299,"4,249",29.7,"9,930",69.5,"9,833",69.9,"3,973",28.2,"1,762",12.7,"3,323",24,"3,704",30.4,"8,498",69.6,"3,710",30.4,"8,499",69.6,20580
Warren County,13301,"1,488",55.5,"1,177",43.9,"1,172",44.4,"1,424",53.9,829,31.7,635,24.3,"1,387",56.2,"1,079",43.8,"1,395",56.5,"1,072",43.5,3789
Washington County,13303,"4,730",50,"4,663",49.3,"4,630",49.9,"4,477",48.2,"3,046",33.1,"2,376",25.8,"4,368",51.2,"4,161",48.8,"4,398",51.5,"4,144",48.5,12994
Wayne County,13305,"2,687",21,"9,987",78.2,"9,734",77.1,"2,655",21,"1,660",13.3,"4,791",38.4,"2,488",22.2,"8,724",77.8,"2,471",22,"8,741",78,18164
Webster County,13307,639,46,748,53.8,736,53.6,626,45.6,443,32.6,324,23.8,553,44.1,700,55.9,551,43.9,704,56.1,1713
Wheeler County,13309,689,30.2,"1,583",69.3,"1,562",69.3,657,29.1,460,20.6,688,30.9,626,31.2,"1,381",68.8,633,31.6,"1,373",68.4,3169
White County,13311,"2,411",16.3,"12,222",82.5,"12,072",82,"2,273",15.4,"1,604",11,"4,033",27.5,"2,222",16.7,"11,067",83.3,"2,272",17.1,"11,014",82.9,20630
Whitfield County,13313,"10,670",29,"25,636",69.8,"25,158",69.3,"10,177",28,"3,876",10.9,"12,905",36.3,"9,213",29.1,"22,429",70.9,"9,184",29,"22,440",71,54779
Wilcox County,13315,862,26.3,"2,403",73.2,"2,369",73.3,805,24.9,538,16.7,"1,155",35.9,763,26.8,"2,085",73.2,767,26.9,"2,084",73.1,4562
Wilkes County,13317,"2,159",42.9,"2,823",56.1,"2,810",56.8,"2,057",41.6,"1,257",25.6,"1,493",30.4,"1,949",43,"2,580",57,"1,956",43.1,"2,581",56.9,6836
Wilkinson County,13319,"2,075",43.5,"2,664",55.8,"2,608",55.4,"2,017",42.9,"1,539",32.8,"1,407",30,"1,960",45.5,"2,347",54.5,"1,976",45.8,"2,342",54.2,6484
Worth County,13321,"2,395",25.8,"6,830",73.6,"6,726",73,"2,327",25.3,"1,589",17.4,"3,541",38.8,"2,223",26.9,"6,041",73.1,"2,227",26.9,"6,037",73.1,13847
