COUNTY NAME,AI MALE VOTERS,AI FEMALE VOTERS,AI UNKNOWN VOTERS,AP MALE VOTERS,AP FEMALE VOTERS,AP UNKNOWN VOTERS,BH MALE VOTERS,BH FEMALE VOTERS,BH UNKNOWN VOTERS,HP MALE VOTERS,HP FEMALE VOTERS,HP UNKNOWN VOTERS,WH MALE VOTERS,WH FEMALE VOTERS,WH UNKNOWN VOTERS,OT MALE VOTERS,OT FEMALE VOTERS,OT UNKNOWN VOTERS,UK MALE VOTERS,UK FEMALE VOTERS,UK UNKNOWN VOTERS,TOTAL VOTERS,PER CAPITA INCOME,MEDIAN HOUSEHOLD INCOME,MEDIAN FAMILY INCOME,POVERTY RATE
MADISON,25,20,0,96,115,2,831,937,2,171,204,0,7943,8655,25,87,92,1,805,714,12,20737,18975,41343,49713,16.1
MARION,4,7,0,18,22,0,669,818,0,49,41,0,1470,1586,5,15,26,0,104,87,1,4922,17729,31581,51000,22.8
MCDUFFIE,10,12,0,23,30,0,2484,3360,0,64,81,0,4139,4667,0,29,37,0,76,71,0,15083,17261,35414,42472,19.9
MCINTOSH,5,10,0,15,15,0,1204,1440,0,30,41,0,2926,3092,3,35,45,0,266,192,1,9320,20964,39075,51765,21.5
MERIWETHER,13,15,1,14,23,0,2287,3019,3,38,52,0,4205,4508,6,52,64,1,551,481,3,15336,18295,37845,47126,24.4
MILLER,1,6,0,2,4,0,436,598,0,10,16,0,1311,1419,0,7,6,1,59,44,0,3920,19895,33196,40685,22.4
MITCHELL,6,12,0,20,28,0,2414,3305,7,84,78,0,3149,3453,6,38,33,0,434,406,8,13481,16322,36198,43930,29.3
MONROE,17,29,0,63,70,1,1882,2257,10,94,78,0,7347,7755,16,94,110,1,706,610,11,21151,23656,48297,61110,13
MONTGOMERY,3,2,0,4,6,0,557,645,1,50,54,0,1806,2029,2,12,17,0,152,126,1,5467,17168,35182,45989,22.1
MORGAN,7,9,0,26,38,0,1202,1558,4,68,68,0,5331,5827,6,35,45,0,331,286,2,14843,27732,45817,57724,12.7
MURRAY,18,16,0,19,29,0,66,57,0,584,655,3,9089,9991,12,80,80,0,873,765,3,22340,16925,38226,45420,15.2
MUSCOGEE,116,129,3,1021,1259,9,25895,35319,61,1905,2151,11,23725,28347,74,1143,1593,6,4478,4687,97,132029,22514,41331,50771,20.1
NEWTON,70,73,0,205,278,2,14760,20476,4,736,937,1,15787,17657,8,528,736,1,3545,3287,7,79098,21583,52361,56519,14.8
OCONEE,15,18,0,368,424,1,525,679,3,305,315,3,11953,13038,25,148,143,2,1078,991,17,30051,34271,74352,85371,5.7
OGLETHORPE,9,5,0,13,18,0,712,847,0,101,90,1,3976,4212,10,48,54,1,393,352,6,10848,17572,39319,52955,13.8
PAULDING,137,132,1,391,533,2,9862,12391,28,1887,2177,6,36833,39918,72,932,1110,2,4391,4448,44,115297,23450,62348,67117,7.8
PEACH,18,13,0,38,64,0,3234,4052,5,259,294,0,4345,4649,16,99,106,0,493,472,7,18164,18681,41014,53708,24
PICKENS,18,20,0,43,53,0,97,100,0,103,146,0,10148,11041,0,50,63,0,1089,849,0,23820,25892,49945,59955,11
PIERCE,12,11,1,15,27,1,428,546,2,47,67,0,4960,5519,16,35,31,0,503,502,12,12735,18283,37062,47157,18.1
PIKE,11,5,0,14,28,0,537,593,0,35,51,0,5585,6029,10,42,41,0,462,379,3,13825,21051,53213,57458,10.6
POLK,7,12,0,30,51,0,1083,1537,2,328,352,2,9040,10068,25,112,111,2,803,686,5,24256,18214,38646,43172,21.8
PULASKI,4,4,0,16,15,0,664,899,1,25,25,0,1832,1976,4,31,34,0,97,85,0,5712,16621,36262,46850,23.9
PUTNAM,14,3,0,28,41,0,1454,1963,2,110,127,0,5404,5822,12,60,49,0,482,424,5,16000,25576,41529,49814,16.1
QUITMAN,5,9,0,2,4,0,261,385,0,6,7,0,389,403,0,5,5,0,39,33,0,1553,13642,28912,34342,25.5
RABUN,13,17,0,15,26,0,31,41,0,124,111,0,5580,6136,18,35,38,0,464,423,2,13074,22471,34406,50410,14.2
RANDOLPH,3,4,0,4,4,0,948,1402,5,8,11,0,838,913,0,8,9,0,91,82,8,4338,17632,26194,29800,30.8
RICHMOND,133,156,2,619,880,6,30586,40557,322,1129,1318,6,20720,23471,97,1314,1743,14,6199,5903,253,135428,20604,37882,45220,21.9
ROCKDALE,75,66,0,372,459,1,15387,19785,45,941,996,3,9085,9998,19,665,857,4,3200,3584,31,65573,24367,55779,63167,13.2
SCHLEY,1,1,0,3,10,0,202,299,0,12,26,0,1056,1165,2,10,7,1,50,45,0,2890,16122,35096,47234,18.1
SCREVEN,5,9,0,15,15,0,1525,1897,1,26,18,0,2502,2772,6,25,22,0,403,368,1,9610,16189,32155,44244,25.9
SEMINOLE,3,5,0,7,7,0,765,1086,0,17,28,0,1799,1914,1,16,21,0,135,132,1,5937,19263,32666,38339,25.4
SPALDING,44,40,0,101,154,0,6048,8340,18,368,454,1,12704,14221,25,276,295,0,1538,1437,24,46088,19607,41100,49640,17.3
STEPHENS,17,18,0,56,61,0,793,932,0,96,94,1,7035,7649,13,71,97,0,592,548,5,18078,18285,34938,41768,16.3
STEWART,2,0,0,2,3,0,756,939,2,8,3,0,541,526,1,11,4,1,56,54,0,2909,15612,30954,41673,37.9
SUMTER,5,5,0,53,64,0,3573,5171,7,99,124,0,3816,4290,10,63,68,0,361,320,4,18033,17436,32430,41371,25.7
TALBOT,3,5,0,2,6,0,1046,1366,0,13,18,0,916,968,0,15,17,2,115,75,0,4567,18007,33873,43694,24.8
